DIVISI,Material SAP,Material Description Maximo,Base Unit of Measure,Status,Lokasi Sistem,Lokasi Fisik,StoreRoom,Penempatan pada Alat,Deskripsi Penempatan
ME,11-200-000670,HEXAGON SCREW PN. 955566 VOLVO,PC,ACTIVE,HH 3,,TPS,NULL,No Placement Information Available
ME,11-200-000669,SLEEVE PN. 3986314 VOLVO,PC,ACTIVE,HH 2,,TPS,NULL,No Placement Information Available
ME,11-200-000668,WINDOW PN. 20768970 VOLVO,PC,ACTIVE,G 1,,TPS,NULL,No Placement Information Available
ME,11-200-000667,EXTENSION BAR PN. 20711790 VOLVO,PC,ACTIVE,HH 2,,TPS,NULL,No Placement Information Available
ME,11-200-000666,RETAINER PN. 8189139 VOLVO,PC,ACTIVE,HH 3,HH 3,TPS,NULL,No Placement Information Available
ME,11-200-000665,SPACER PN. 21285922 VOLVO,PC,ACTIVE,HH 4,HH 4,TPS,NULL,No Placement Information Available
ME,11-200-000664,"Head String 4"" PN OAHS004",M,ACTIVE,EE 2,EE 2,TPS,NULL,No Placement Information Available
ME,11-200-000663,"Head String 3"" PN OAHS003",M,ACTIVE,EE 2,EE 2,TPS,NULL,No Placement Information Available
ME,11-200-000662,Spacer PN. 4701-AA FE Toyota,PC,ACTIVE,QQ 3,QQ 3,TPS,NULL,No Placement Information Available
ME,11-200-000661,SWITCH STOP PN.1912-73003,PC,ACTIVE,QQ 3,QQ 3,TPS,NULL,No Placement Information Available
ME,11-200-000660,O-Ring PN. 05563-70170,PC,ACTIVE,QQ 2,,TPS,NULL,No Placement Information Available
ME,11-200-000659,Injector RS Konecranes SMV 4531 TCE5 PN.53331143,UN,ACTIVE,RR 2,RR 2,TPS,NULL,No Placement Information Available
ME,11-200-000658,Wheel Clamp PN. 923109.0053,PC,ACTIVE,QQ 1,QQ 1,TPS,NULL,No Placement Information Available
ME,11-200-000657,RELAY PN. 922200.0003,PC,ACTIVE,RR 2,RR 2,TPS,NULL,No Placement Information Available
RTG,11-200-000656,"Repair Kit Turbocharger Holset BHT3B PN. 3545669, Brand ; HOLSET",PC,ACTIVE,AA 1,AA 1,TPS,ENGINE,Engine and Power Generation
RTG,11-200-000655,"Neaple Adaptor Grease ( Bengkok ) Uk 5/8""",PC,ACTIVE,LEMARI 8,XX1,TPS,LUBRICATION,Lubrication System
RTG,11-200-000654,Segel Galvalum M10,PC,ACTIVE,LEMARI 9,,TPS,GENERAL_MAINTENANCE,General Maintenance Components
RTG,11-200-000653,JB 30 x 25 x15 cm For Gantry Mocrosonic - S,PC,ACTIVE,2B 2,2B 2,TPS,GENERAL_MAINTENANCE,General Maintenance Components
RTG,11-200-000652,JB 30 x 40 x 20 cm - S,PC,ACTIVE,2B 2,2B 2,TPS,GENERAL_MAINTENANCE,General Maintenance Components
RTG,11-200-000651,IXYS 10 DSA 17-164 - S,PC,PLANNING,2B 2,,TPS,GENERAL_MAINTENANCE,General Maintenance Components
RTG,11-200-000650,IXYS VHF 28-12 io5 - S,PC,PLANNING,2B 2,,TPS,GENERAL_MAINTENANCE,General Maintenance Components
RTG,11-200-000649,YXM 151 YHBC - S,PC,PLANNING,2J 2,-,TPS,GENERAL_MAINTENANCE,General Maintenance Components
RTG,11-200-000648,YXM 152 YHBC / YXE 152 A - S,PC,PLANNING,2J 2,-,TPS,GENERAL_MAINTENANCE,General Maintenance Components
RTG,11-200-000647,YXN 118 YHBC - S,PC,ACTIVE,2J 2,-,TPS,GENERAL_MAINTENANCE,General Maintenance Components
RTG,11-200-000646,REFILL LAMPU NEON PHILIPS 230V 25W,PC,ACTIVE,2I 5,2I 5,TPS,LIGHTING,Lighting and Illumination System
RTG,11-200-000645,"INJECTION COP, 3023556",PC,ACTIVE,BB 5,BB 5,TPS,GENERAL_MAINTENANCE,General Maintenance Components
CC,11-200-000644,Elbow coupling 1/4''x5/16'',PC,ACTIVE,LL 3,LL 3,TPS,NULL,No Placement Information Available
CC,11-200-000643,T Coupling 5/16''x5/16''x1/16'',PC,ACTIVE,LL 3,LL 2,TPS,NULL,No Placement Information Available
CC,11-200-000642,"Spie 13x10x60 mm, Material SCM 440",PC,ACTIVE,KK 2,KK 2,TPS,NULL,No Placement Information Available
CC,11-200-000641,"Spie 45x30x165 mm, Material SCM 440",PC,ACTIVE,KK 2,KK 2,TPS,NULL,No Placement Information Available
CC,11-200-000640,"Spie 45x30x132 mm, Material SCM 440",PC,ACTIVE,KK 2,KK 2,TPS,NULL,No Placement Information Available
CC,11-200-000639,WAGO 249-116 SCREWLESS END STOP 6 MM WIDE FOR DIN-RAIL 35 X 15 AND 35 X 7.5,PC,ACTIVE,2G 2,2G 2,TPS,NULL,No Placement Information Available
CC,11-200-000638,Vibration isolator agregate PN. 5011-0005-0010,PC,ACTIVE,,,TPS,NULL,No Placement Information Available
CC,11-200-000637,"Power Plug Fimale 32A, 415V / 3P+N+E Mennekes",PC,ACTIVE,N 3,N 3,TPS,NULL,No Placement Information Available
CC,11-200-000636,Bell Buzzer 220 VAC,PC,ACTIVE,2G 2,2G 2,TPS,NULL,No Placement Information Available
CC,11-200-000635,Blockading Pin -P,PC,PLANNING,LL 1,,TPS,NULL,No Placement Information Available
CC,11-200-000634,"Plug Ground, Mat. Brass (Kuningan) -P",PC,PLANNING,KK 3,,TPS,NULL,No Placement Information Available
CC,11-200-000633,"IC Chips, PN: TA-7502M -P",PC,PLANNING,2G 4,,TPS,NULL,No Placement Information Available
CC,11-200-000632,"IC Chips, PN: M4-101-AHM -P",PC,PLANNING,2G 4,,TPS,NULL,No Placement Information Available
CC,11-200-000631,"IC Chips, PN: LM-201 -P",PC,PLANNING,2G 4,,TPS,NULL,No Placement Information Available
CC,11-200-000630,"Linear Synch RO, PN: TS468N50EU -P",PC,PLANNING,2G 4,,TPS,NULL,No Placement Information Available
CC,11-200-000629,"Diode/Kiprok, 36Mb, 120A -P",PC,ACTIVE,2G 4,2G 4,TPS,NULL,No Placement Information Available
CC,11-200-000628,"Snap Ring, Uk: Ø Dalam 15mm -P",PC,ACTIVE,KK 3,KK 3,TPS,NULL,No Placement Information Available
CC,11-200-000627,"Snap Ring, Uk: Ø Dalam 19mm -P",PC,ACTIVE,KK 3,KK 3,TPS,NULL,No Placement Information Available
CC,11-200-000626,"Thrustor Boom Hoist, PN: ELHY-EB-125/60 -P",PC,PLANNING,MM 2,,TPS,NULL,No Placement Information Available
CC,11-200-000625,"IC 693, PN: CHS391, Base Slot -P",PC,PLANNING,2G 3,,TPS,NULL,No Placement Information Available
CC,11-200-000624,"Ring Gantry, PN: MG22-DN5406 -P",PC,ACTIVE,LL 2,LL 2,TPS,NULL,No Placement Information Available
CC,11-200-000623,"Injector, PN: 3076703, Brand: Cummins -P",PC,PLANNING,LL 3,,TPS,NULL,No Placement Information Available
CC,11-200-000622,"Joystick Spring Return, PN: XD4 PA22/2 -P",PC,ACTIVE,KK 3,KK 3,TPS,NULL,No Placement Information Available
CC,11-200-000621,"Joystick Hoist, PN: XKD-F16450 -P",PC,ACTIVE,KK 2,KK 2,TPS,NULL,No Placement Information Available
CC,11-200-000620,"Teflon EH10, Dia. 90 x 55mm -P",PC,PLANNING,KK 3,,TPS,NULL,No Placement Information Available
CC,11-200-000619,"Spoel Magnet Manlift, 220Volt R -P",PC,PLANNING,MM 3,,TPS,NULL,No Placement Information Available
CC,11-200-000618,Paju Kayu Roda Gantry,PC,ACTIVE,N 1,N 1,TPS,NULL,No Placement Information Available
CC,11-200-000617,"Joystick-Controller, PN: VNSO22-18-KK-EAR HUK 10P 10P + 2 x OER8G-1 Like Kom Nr. 2021386.53.6, Brand: Spohn & Burkhardt",PC,ACTIVE,2D 1,2D 1,TPS,NULL,No Placement Information Available
CC,11-200-000616,"Diode, PN: SKKD-46-12 -P",PC,ACTIVE,2G 2,2G 2,TPS,NULL,No Placement Information Available
CC,11-200-000615,Coupling Pin For Trolley + Boom Hoist -P,PC,PLANNING,KK 1,,TPS,NULL,No Placement Information Available
Lain,11-200-000614,MCCB 3 PHASE 125 A SCHNEIDER EZC250N 3P,PC,,,,,NULL,No Placement Information Available
Lain,11-200-000613,TERMISTOR COIL,PC,,,,,NULL,No Placement Information Available
Lain,11-200-000612,CONECTOR FOR REEFER CONTAINER 32A 4 POLE HR 400 V,UN,,,,,NULL,No Placement Information Available
Lain,11-200-000611,SHUN FOILD 1100 DC + G18,UN,,,,,NULL,No Placement Information Available
Lain,11-200-000610,IMPELER TYPE GL-3,UN,,,,,NULL,No Placement Information Available
Lain,11-200-000609,IMPELER TYPE 4L-1,UN,,,,,NULL,No Placement Information Available
Lain,11-200-000608,FRELLUT / OUTDOOR ORIESCHER H 221 STA,UN,,,,,NULL,No Placement Information Available
Lain,11-200-000607,;MODULLE DT MF/RX,UN,,,,,NULL,No Placement Information Available
ME,11-115-000526,FUEL FILTER PN/ 21380475 - ANL,PC,ACTIVE,,,TPS,NULL,No Placement Information Available
ME,11-115-000525,FUEL FILTER PN/ 466987 - ANL,PC,ACTIVE,,,TPS,NULL,No Placement Information Available
ME,11-115-000524,FUEL FILTER PN. 21380475 VOLVO,PC,ACTIVE,,,TPS,NULL,No Placement Information Available
